days,samples,dc_energy_kwh,ac_energy_kwh,poa_irradiation_kwh_m2,capacity_factor_percent,dc_to_ac_efficiency_percent,mean_dc_power_w,mean_ac_power_w,mean_poa_irradiance_w_m2,max_dc_power_w,max_ac_power_w,max_poa_irradiance_w_m2,irradiance_dc_correlation,irradiance_ac_correlation,dc_power_per_irradiance,ac_power_per_irradiance,peak_poa_irradiance,peak_dc_power,peak_ac_power,month,month_name,abnormal_days,population,entity
7,10080,2.996037049333333,2.1986655725,8.311288691166666,1.1685084887861392,73.38579384354539,17.83356016765873,13.086135848214285,49.47055153869048,535.07,445.04,1026.1,0.5825250985805598,0.5932050836783448,0.20498686650185413,0.099338556383252,1026.1,535.07,445.04,1,January,7,abnormal,ac_power__423
5,7200,3.5411057058333335,2.871115471,14.540814575166666,2.136246630208333,81.07963188645724,29.50922735833333,23.924685494444443,121.17298990416667,1198.5,995.65,1366.8,0.4848387629104803,0.4917740160907847,0.009481107793678575,-0.005558433485288023,1366.8,1198.5,995.65,2,February,5,abnormal,ac_power__423
6,8640,4.747870532166667,3.677690731833333,11.036659882166665,2.280314193845072,77.45979396272706,32.97130603587962,25.538436390046297,76.64232874537036,659.63,550.9,1203.4,0.6223364606099246,0.6247347212192931,0.08432645350589825,0.018172115745960164,1203.4,659.63,550.9,3,March,6,abnormal,ac_power__423
2,2880,2.0609325791666664,1.6080685338333334,-13.118310348666666,2.991198909660218,78.02625617590812,42.935901270833334,33.500468968750006,-358.0283760853769,1185.1,979.92,2262.3,0.339277273111141,0.3344336917887253,0.7812619807587637,0.585855131363882,2262.3,1185.1,979.92,5,May,2,abnormal,ac_power__423
1,1440,1.5483156716666668,1.1797966235,1.7231723603333333,4.389124343377975,76.19871354980351,64.51315248611111,49.15763106250001,71.79824389583332,440.5,358.89,455.78,0.9974080022201074,0.9941031778916045,0.7646745616450932,0.5131485345727024,455.78,440.5,358.89,8,August,1,abnormal,ac_power__423
4,5760,1.7695368601666663,1.313391428833333,5.0103917010000005,1.2215322068762398,74.22232666629105,18.432675645833335,13.68077017534722,52.190812815972215,383.98,315.19,972.77,0.4611072057575248,0.46431374710170986,0.014413749017489262,-0.0005613362498397962,972.77,383.98,315.19,9,September,4,abnormal,ac_power__423
2,2880,2.174343342666667,1.6799008511666667,2.1205162013333334,3.1248155713665673,77.26014646363973,45.29882603472222,34.99784587152778,44.175593048611105,991.32,788.4199999999998,861.9199999999998,0.9887420448576829,0.9882439775814291,0.8711544975826072,0.6736887794242339,861.9199999999998,991.32,788.4199999999998,10,October,2,abnormal,ac_power__423
8,11303,8.680317566833333,-1.3093261269999998,46.138699869499995,-0.608875617094494,-15.083850526423253,45.88900769339707,-5.561640661946906,224.58236407590908,1619.8,1177.3,1729.2,0.2741317069499403,0.17034987987887787,0.015931455473363658,-0.045513513613026926,1729.2,1619.8,1177.3,11,November,8,abnormal,ac_power__423
4,5760,3.4269770291666664,2.8591294566666665,15.1303934985,2.659160580977182,83.43007357017265,35.697918730902785,29.782134149305552,157.60713958854168,616.6,510.81,1278.9,0.368486063038744,0.4160068327999959,0.15622076072954097,0.09544765588250667,1278.9,616.6,510.81,12,December,4,abnormal,ac_power__423
