days,samples,dc_energy_kwh,ac_energy_kwh,poa_irradiation_kwh_m2,capacity_factor_percent,dc_to_ac_efficiency_percent,mean_dc_power_w,mean_ac_power_w,mean_poa_irradiance_w_m2,max_dc_power_w,max_ac_power_w,max_poa_irradiance_w_m2,irradiance_dc_correlation,irradiance_ac_correlation,dc_power_per_irradiance,ac_power_per_irradiance,peak_poa_irradiance,peak_dc_power,peak_ac_power,month,month_name,abnormal_days,population,entity
21,30240,107.07810485233333,84.80658952166665,123.16067608266667,15.023843098367816,79.20068219233023,212.45655635747354,168.26694821660055,244.3644821881614,1598.2,1219.4,1514.6,0.9603545241372546,0.9618605138235984,0.8673587704640866,0.6951107184350631,1514.6,1598.2,1219.4,9,September,21,abnormal,das_battery_voltage__434
31,44640,211.11533253966664,162.99371079216664,200.6873247543333,19.560497166878672,77.20600338752828,283.757168203181,219.07745756922043,269.73887976276876,1506.3,1149.2,1414.0,0.9988699417799233,0.9987075063654857,1.0386575294324372,0.8024633976295608,1414.0,1506.3,1149.2,10,October,31,abnormal,das_battery_voltage__434
28,40103,145.38587447299997,105.69516893533331,176.28524563366668,14.04325692699475,72.69975114051556,217.48683935233677,158.5391428800499,258.01553590005733,1619.8,1182.0,1729.2,0.8069272209974313,0.7805963062577517,1.046325878594249,0.8126419102028859,1729.2,1619.8,1182.0,11,November,28,abnormal,das_battery_voltage__434
