date,ac_energy_kwh,dc_energy_kwh,peak_ac_power_w,peak_dc_power_w,peak_poa_w_m2,mean_poa_w_m2,mean_ambient_temp_c,mean_module_temp_1_c,mean_module_temp_2_c,mean_module_temp_3_c,mean_inverter_temp_c,records,dc_to_ac_energy_ratio
2022-01-01,-0.040901002166666665,-0.029681054499999998,0.25529,0.10173,978.34,105.404516,-12.52604048611111,-10.164060277777779,-10.542547152777779,-10.444042430555555,-10.205710069444445,1440,1.3780171511988115
2022-01-02,4.768669295,5.785308514666666,828.35,1001.8,1052.6,272.01982824305554,1.1311762430555554,7.383844027777777,5.819853083333333,7.6659005,1.0075258402777778,1440,0.8242722549559238
2022-01-03,3.7729299086666668,4.609239851,848.77,1030.7,1109.1,199.91726747222222,4.398949548611111,8.63959501388889,9.187987909722223,9.37091136111111,6.593517979166667,1440,0.8185579467833745
2022-01-04,4.945578303,6.024114296166666,934.71,1137.7,1077.5,238.16887147222224,4.210678041666666,7.152542993055556,7.034461333333334,6.685470708333334,4.962379930555556,1440,0.8209635574389793
2022-01-05,3.7266344621666665,4.51036245,912.56,1103.4,1044.0,186.15380617361112,-7.931500326388889,-2.577695118055556,-2.301755736111111,-2.160448986111111,-4.6222358125000005,1440,0.8262383574443484
2022-01-06,3.864752081833333,4.6475082174999995,1062.9,1288.4,1374.1,222.93217035416666,-11.058469902777777,-3.4537223125,-3.5065234652777777,-3.354369243055556,-7.991022604166667,1440,0.8315750937848306
2022-01-07,4.4531126531666665,5.429392850166667,891.84,1091.1,1123.2,234.18948249305555,8.278059930555555,13.192373069444445,13.49000486111111,13.18366932638889,9.584401722222221,1440,0.8201861195271528
2022-01-08,1.8052227048333334,2.2402853103333333,820.5399999999998,991.36,1018.1,94.54919339583333,4.051644805555555,5.537908916666667,5.672350736111111,5.664977631944445,5.73599588888889,1440,0.8058003578859932
2022-01-09,5.667037452833333,6.827931230166667,918.32,1104.7,1071.7,283.84793345833333,-2.733854402777778,4.176634076388889,4.710364340277778,4.689484604166666,-0.1732005763888889,1440,0.8299786951273971
2022-01-10,5.376705745,6.535445757166666,838.61,1021.6,1062.6,280.15899570833335,5.526776222222222,10.811392305555556,11.626018027777778,11.935714444444445,6.7751625069444446,1440,0.8226991615841949
2022-01-11,3.115256005,3.8147680091666665,771.74,936.7,954.28,166.032556875,8.379264611111111,10.007406645833333,10.214465166666667,10.055745798611111,9.243897222222222,1440,0.8166305257657137
2022-01-12,2.9798487606666666,3.6601983678333334,872.4199999999998,1062.4,1095.7,155.11305798611113,10.502797222222222,12.312515972222222,12.374289583333333,12.155589375,11.220407569444443,1440,0.8141222035543931
2022-01-13,4.264702306166667,5.215101741833333,833.13,1017.1,1051.1,222.72483792361112,11.941274513888889,15.691339236111112,16.381293125,16.83124722222222,13.560191319444446,1440,0.8177601353310204
2022-01-14,0.3095469043333333,0.4321268875,307.67,368.25,365.17,24.41791753472222,1.9546068055555557,2.2243933402777776,2.3631428055555554,2.0759516527777775,2.8526005625,1440,0.7163333578342387
2022-01-15,4.613989688666667,5.596001155166666,874.77,1055.6,1112.7,271.1681764375,1.3833623958333332,9.082877506944444,8.4667750625,8.853293666666666,2.3616075347222223,1440,0.8245154996808159
2022-01-16,4.743689383333333,5.801119350666666,901.79,1104.8,1122.0,245.33037669444445,7.167502770833333,11.276619236111111,11.421152347222222,10.923059125,8.5407186875,1440,0.8177196669446538
2022-01-17,2.7388580815,3.3695142628333334,694.44,840.51,836.74,141.21033397916668,8.404395541666666,10.161466458333333,10.40251504861111,10.506503138888888,9.593771368055554,1440,0.8128346900650802
2022-01-18,0.6592798918333334,0.8750543893333333,244.15,297.84,307.49,40.13067372222223,7.081207895833334,6.372272479166667,6.463447083333333,6.5163285,7.824620229166666,1440,0.753415901765387
2022-01-19,0.048988623,0.100144711,38.087,45.248,60.953,10.668541354166667,-5.578932625,-4.549112152777777,-4.544257777777778,-4.553965673611112,-4.41271125,1440,0.4891783351394364
2022-01-20,5.323995718,6.420491290666667,893.83,1078.6,1006.6,230.30774979166668,-4.760017104166666,2.3045295416666667,2.8572817847222223,2.9570145486111112,-2.6368564305555555,1440,0.8292193660848634
2022-01-21,0.325569414,0.448254118,133.04,161.03,123.79,18.691225236111112,-1.320707375,-1.3328357222222222,-1.3149742777777778,-1.26284175,-0.42436808333333337,1440,0.7263054614034801
2022-01-22,5.187479179,6.294610004833333,857.5299999999999,1041.0,1094.9,277.4430987083333,-0.47573394444444445,6.709604513888889,6.125780687500001,6.489240326388889,1.1961845902777777,1440,0.8241144685718067
2022-01-23,5.5609280666666665,6.746511349666666,848.9299999999998,1031.2,1054.4,283.7335890902778,3.893652451388889,9.560560430555556,10.574170173611112,11.296457013888888,5.170123680555556,1440,0.8242672069233861
2022-01-24,5.2415141316666665,6.373829868333333,1008.3,1225.6,1222.6,261.95844722916667,3.8700707222222226,8.175340111111112,9.155006375,9.985313090277778,5.771729270833334,1440,0.8223492374196754
2022-01-25,0.20575466183333332,0.295550608,401.95,482.17,1026.1,62.47821416666667,-4.200817111111111,-2.2609505902777776,-2.6145652083333335,-2.922668875,-2.118513861111111,1440,0.6961740435104546
2022-01-26,4.761611418,5.759528635833333,955.43,1159.4,1161.9,302.5803895486111,-3.3703225277777777,4.617187201388889,1.9232940833333332,4.591712631944445,-1.8461419583333332,1440,0.8267363041439334
2022-01-27,0.6902323296666667,0.8745884488333333,445.04,535.07,808.49,84.50277275694444,-4.420558354166666,-2.9629441319444445,-3.6230751388888884,-3.098257729166667,-2.99175475,1440,0.7892081476578036
2022-01-28,5.8530370949999995,7.098967684,890.37,1082.5,1124.7,306.70059403472226,3.8977875555555554,9.107007833333334,9.937737256944445,10.817974472222222,4.516694604166666,1440,0.8244913000790045
2022-01-29,5.83906586,7.103604515,854.9299999999998,1045.2,1126.4,311.03347120138886,7.822597881944445,13.782102347222223,14.388923437499999,14.522671895833332,9.51974098611111,1440,0.8219863377346254
2022-01-30,5.8782682105,7.140820432666667,868.19,1062.0,1126.9,311.0354306111111,4.873134305555555,10.842123833333334,11.346219409722222,11.424728284722223,6.3315725277777775,1440,0.8231922740430571
