days,samples,dc_energy_kwh,ac_energy_kwh,poa_irradiation_kwh_m2,capacity_factor_percent,dc_to_ac_efficiency_percent,mean_dc_power_w,mean_ac_power_w,mean_poa_irradiance_w_m2,max_dc_power_w,max_ac_power_w,max_poa_irradiance_w_m2,irradiance_dc_correlation,irradiance_ac_correlation,dc_power_per_irradiance,ac_power_per_irradiance,peak_poa_irradiance,peak_dc_power,peak_ac_power,population,normal_days,abnormal_days
174,250560,1025.6381809806667,838.0907060935,1121.7694981215004,17.918948115368,81.7140704816739,245.60301281613195,200.69147871412036,268.6211193565613,1513.7,1243.2,1447.8,0.9857150406694163,0.9853511413661391,0.8904559336449156,0.7236318492645059,1447.8,1513.7,1243.2,normal,174,190
190,273383,869.699564311,679.003366585611,568.2800000117222,13.295022058772144,78.0733249100264,190.86982448902248,149.08099046406716,179.0627157742284,1619.8,1219.4,4938.0,0.407652134494278,0.4011904153293194,0.8641983526083701,0.6809097616527122,4938.0,1619.8,1219.4,abnormal,174,190
