days,samples,dc_energy_kwh,ac_energy_kwh,poa_irradiation_kwh_m2,capacity_factor_percent,dc_to_ac_efficiency_percent,mean_dc_power_w,mean_ac_power_w,mean_poa_irradiance_w_m2,max_dc_power_w,max_ac_power_w,max_poa_irradiance_w_m2,irradiance_dc_correlation,irradiance_ac_correlation,dc_power_per_irradiance,ac_power_per_irradiance,peak_poa_irradiance,peak_dc_power,peak_ac_power,month,month_name,abnormal_days,population,entity
1,1440,6.525874182666667,5.30388321,7.3884748606666655,19.731708370535713,81.27467771425339,271.91141652083337,220.99447193749995,308.2793478025035,1139.7,930.46,1245.5,0.9621208567796659,0.9617963066327637,0.9083921981559102,0.7427037611597529,1245.5,1139.7,930.46,4,April,1,abnormal,poa_irradiance__421
15,21600,74.572496851,60.177853672666664,98.09042414749999,14.925062914847882,80.69711517492215,207.14579824305554,167.15968140555555,769.7285008951908,1296.0,1062.8,4938.0,-0.14840309866701865,-0.15048835032245625,0.002542907823108447,-0.0003530001744287459,4938.0,1296.0,1062.8,5,May,15,abnormal,poa_irradiance__421
30,43200,148.630374681,118.926633637,-14.426578097999998,14.74784643315972,80.01502646565207,206.43107398564814,165.17504568912034,-689.7168811792827,1235.5,1005.0,3206.6,-0.04320993698078774,-0.05160959910740309,0.008637524137841655,-0.000479912052768339,3206.6,616.17,509.62,6,June,30,abnormal,poa_irradiance__421
25,36000,116.06637054366665,92.5283301301111,-126.33852354127777,13.769096745552245,79.72018914410695,193.44395040416666,154.2130452774074,-990.9081069223399,1135.1,927.35,1577.1,-0.21549723387852415,-0.21225211659441276,0.3490568348848604,0.08685509906944357,1577.1,1078.8,883.61,7,July,25,abnormal,poa_irradiance__421
5,6983,6.910954099166666,-2.6748221029999986,41.242864019333325,-1.990195017113094,-38.704093018394275,59.08458571510461,-20.741159163323776,321.4530813833596,1619.8,1177.3,1729.2,0.24432589950808964,0.19860570118041052,0.013417621390041112,-0.05610606226859115,1729.2,1619.8,1177.3,11,November,5,abnormal,poa_irradiance__421
1,1440,5.053505015833333,4.1627806110000005,5.368505754333333,15.486535011160715,82.37412643219767,210.5627168888889,173.44838330555555,223.68637775,986.67,812.0,1036.8,0.9953071868124884,0.9954040285876914,0.8886686686686686,0.7356866798490024,1036.8,986.67,812.0,12,December,1,abnormal,poa_irradiance__421
