days,samples,dc_energy_kwh,ac_energy_kwh,poa_irradiation_kwh_m2,capacity_factor_percent,dc_to_ac_efficiency_percent,mean_dc_power_w,mean_ac_power_w,mean_poa_irradiance_w_m2,max_dc_power_w,max_ac_power_w,max_poa_irradiance_w_m2,irradiance_dc_correlation,irradiance_ac_correlation,dc_power_per_irradiance,ac_power_per_irradiance,peak_poa_irradiance,peak_dc_power,peak_ac_power,month,month_name,abnormal_days,population,entity
1,1440,7.6409954209999995,6.2870466663333335,8.277552152666667,23.389310514632935,82.28046635199435,318.37480384722215,261.9594152638889,344.8956647638889,1089.3,894.0299999999999,1160.3,0.9739347074709154,0.9737498326609765,0.9440603503888856,0.7779748281669092,1160.3,1089.3,894.0299999999999,3,March,1,abnormal,ac_current__427
1,1440,6.634966042333334,5.3500455979999995,0.0,19.90344344494047,80.63410669873657,276.456918375,222.9175203333333,,918.55,750.9299999999998,,,,,,,,,6,June,1,abnormal,ac_current__427
1,1440,6.803976228333334,5.542901395666666,7.923073948333332,20.620912930307536,81.46561965611725,283.49901247916665,230.9536555416667,330.12668340277776,938.31,768.24,1093.3,0.9987518641738524,0.9983513936379653,0.8592602488938905,0.7048296437899242,1093.3,938.31,768.24,8,August,1,abnormal,ac_current__427
1,1440,5.6954699205,4.5797964513333325,6.7610815938333335,17.0379332266865,80.41121303878779,237.31124316666666,190.82469835416669,281.70983765972227,999.45,812.1799999999998,1210.6,0.9693193271475269,0.9689499682319049,0.8660662937023116,0.688911805528156,1210.6,999.45,812.1799999999998,9,September,1,abnormal,ac_current__427
6,8423,14.246340111500002,3.054758521166667,49.048099400333335,1.89407150369957,21.44240904862849,101.26103622000475,23.634368198337285,322.0963050765761,1619.8,1177.3,1729.2,0.3774447446903356,0.33469486990442193,0.017422957168460637,-0.048910761555164925,1729.2,1619.8,1177.3,11,November,6,abnormal,ac_current__427
