days,samples,dc_energy_kwh,ac_energy_kwh,poa_irradiation_kwh_m2,capacity_factor_percent,dc_to_ac_efficiency_percent,mean_dc_power_w,mean_ac_power_w,mean_poa_irradiance_w_m2,max_dc_power_w,max_ac_power_w,max_poa_irradiance_w_m2,irradiance_dc_correlation,irradiance_ac_correlation,dc_power_per_irradiance,ac_power_per_irradiance,peak_poa_irradiance,peak_dc_power,peak_ac_power,month,month_name,abnormal_days,population,entity
1,1440,7.6409954209999995,6.2870466663333335,8.277552152666667,23.389310514632935,82.28046635199435,318.37480384722215,261.9594152638889,344.8956647638889,1089.3,894.0299999999999,1160.3,0.9739347074709154,0.9737498326609765,0.9440603503888856,0.7779748281669092,1160.3,1089.3,894.0299999999999,3,March,1,abnormal,ac_voltage__426
12,17280,58.92253109083333,45.600871654,67.73887927833333,14.137174991939483,77.39123016236856,204.592121515625,158.3362503142361,235.20257900520832,1598.2,1219.4,1514.6,0.9367645936128215,0.9365764880519527,0.9086768705034085,0.7006563063740558,1514.6,1598.2,1219.4,9,September,12,abnormal,ac_voltage__426
31,44640,211.11533253966664,162.99371079216664,200.6873247543333,19.560497166878672,77.20600338752828,283.757168203181,219.07745756922043,269.73887976276876,1506.3,1149.2,1414.0,0.9988699417799233,0.9987075063654857,1.0386575294324372,0.8024633976295608,1414.0,1506.3,1149.2,10,October,31,abnormal,ac_voltage__426
28,40103,145.38587447299997,105.69516893533331,176.28524563366668,14.04325692699475,72.69975114051556,217.48683935233677,158.5391428800499,258.01553590005733,1619.8,1182.0,1729.2,0.8069272209974313,0.7805963062577517,1.046325878594249,0.8126419102028859,1729.2,1619.8,1182.0,11,November,28,abnormal,ac_voltage__426
